6.01.(a),120.17,736.2(b)
6.01.(b),120.17,736.2(b)
6.01.(d),736.2(b),120.17,736.2(b)
6.02.(e),120.17,736.2(b),120.17,736.2(b)
6.03.(b),120.17,736.2(b)
6.03.(h),762.6,786.2
6.03.04.(b),120.17,736.2(b),120.17,736.2(b)
6.03.04.(c),120.17,736.2(b),120.17,736.2(b)
6.03.05.(b),120.17,736.2(b)
6.03.05.(d),120.17,736.2(b),120.17,736.2(b)
6.03.06.(a),120.17,736.2(b)
6.03.06.(b),120.17,736.2(b)
6.04.01.(c),120.17,736.2(b)
6.04.01.(f),120.17,736.2(b)
6.04.02.(a),120.17,736.2(b)
6.04.02.(b),120.17,736.2(b),120.17,736.2(b)
6.04.02.(c),120.17,736.2(b)
6.04.03.(a),736.2(b)
6.04.03.(b),120.17,736.2(b)
6.04.06.(a),120.17,736.2(b)
6.04.07.(b),127.12
6.04.08.(a),120.17,736.2(b)
6.04.08.(b),120.17,736.2(b)
6.04.08.(c),120.17,736.2(b)
6.04.08.03.(a),120.17,736.2(b)
6.04.08.03.(b),120.17,736.2(b)
6.07.01.(a),127.12,127.12
6.07.01.(c),762.6,786.2
6.07.01.(d),127.12
6.07.01.(e),127.12
6.07.01.(f),127.12
6.07.01.(g),127.12
6.07.01.(h),127.12
6.08.(a),120.17,736.2(b),120.17,736.2(b)
6.09.(i),120.17,736.2(b)
6.09.(j),120.17,736.2(b)
6.10.(h),120.17,736.2(b)
6.10.(i),120.17,736.2(b)
