AAC-01,A.12.7.1
AAC-02,A.18.2.1
AAC-03,A.8.2.1,A.18.1.1,A.18.1.3,A.18.1.4,A.18.1.5
EKM-03,A.13.1.1,A.8.3.3,A.13.2.3,A.14.1.3,A.14.1.2,A.10.1.1,A.18.1.3,A.18.1.4
EKM-04,A.10.1,A.10.1.1,A.10.1.2
GRM-01,A.14.1.1,A.18.2.3
GRM-02,A.18.1.1,A.18.1.3,A.18.1.4,A.8.2.2
GRM-03,A.7.2.1,A.7.2.2,A.9.2.5,A.18.2.2
GRM-04,A.6.1.1,A.13.2.4,A.6.1.3,A.6.1.4,A.18.2.1
GRM-06,A.7.2.2
GRM-07,A.7.2.3
GRM-08,A.5.1.2,A.12.1.2,A.15.2.2,A.17.1.1,A.18.2.2,A.18.2.3
GRM-09,A.5.1.2
GRM-10,A.14.2.3,A.12.6.1,A.17.1.1,A.18.1.1,A.18.2.2,A.18.2.3
GRM-11,A.12.6.1,A.17.1.1,A.18.2.2,A.18.2.3
HRS-01,A.8.1.1,A.8.1.2,A.8.1.4
HRS-02,A.7.1.1
HRS-03,A.13.2.4,A.7.1.2
HRS-04,A.7.3.1
HRS-05,A.8.2.1,A.8.3.1,A.8.3.2,A.8.3.3,A.6.2.1,A.6.2.2,A.18.1.4
HRS-06,A.13.2.4
HRS-07,A.6.1.1,A.6.1.1
HRS-08,A.8.1.3
HRS-09,A.7.2.2
HRS-10,A.7.2.2,A.9.3.1,A.11.2.8
HRS-11,A.7.2.2,A.11.1.5,A.9.3.1,A.11.2.8,A.11.2.9
IAM-02,A.9.1.1,A.9.2.1,A.9.2.2,A.9.2.5,A.9.1.2,A.9.4.1
IAM-03,A.13.1.1,A.9.1.1,A.9.4.4
IAM-04,A.9.2,A.9.2.1,A.9.2.2,A.9.2.3,A.9.2.4,A.9.2.5,A.9.2.6
IAM-05,A.6.1.2
IAM-06,A.9.4.5,A.18.1.3
IAM-07,A.9.2.6,A.9.1.1,A.9.2.1,A.9.2.2,A.9.2.5
IAM-08,A.9.2,A.9.2.1,A.9.2.2,A.9.2.3,A.9.2.4,A.9.2.5,A.9.2.6,A.9.3.1,A.9.4.1,A.9.4.2,A.9.4.3,A.9.4.5
IAM-09,A.9.2.1,A.9.2.2,A.9.2.3,A.9.1.2,A.9.4.1
IAM-10,A.9.2.5
IAM-11,A.9.2.6,A.9.1.1,A.9.2.1,A.9.2.2,A.9.2.3
IAM-12,A.9.2.6,A.9.1.1,A.9.2.1,A.9.2.2,A.9.2.4,A.9.2.5,A.9.4.2
IAM-13,A.9.1.2,A.9.4.4
IPY-01,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IPY-02,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IPY-03,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IPY-04,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IPY-05,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IVS-01,A.12.4.1,A.12.4.1,A.12.4.2,A.12.4.3,A.12.4.3,A.12.4.1,A.9.2.3,A.9.4.4,A.9.4.1,A.16.1.2,A.16.1.7,A.18.2.3,A.18.1.3
IVS-02,A.12.1.2,A.12.4,A.12.4.1,A.12.4.2,A.12.4.3,A.12.6.1,A.12.6.2,A.16.1.1,A.16.1.2,A.16.1.3,A.16.1.4,A.16.1.5,A.16.1.6,A.16.1.7
IVS-03,A.12.4.1,A.12.4.4
IVS-04,A.12.1.3
IVS-06,A.13.1.1,A.13.1.2,A.14.1.2,A.12.4.1,A.9.1.2,A.13.1.3,A.18.1.4
IVS-07,A.12.1.4,A.12.2.1,A.12.4.1,A.12.6.1
IVS-08,A.12.1.4,A.14.2.9,A.9.1.1,A.14.2.2,A.14.2.3,A.14.2.4
IVS-09,A.13.1.3,A.9.4.1,A.18.1.4
IVS-10,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IVS-11,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
IVS-12,A.8.1.1,A.8.1.2,A.8.1.3,A.11.2.1,A.11.2.4,A.13.1.1,A.13.1.2,A.13.2.1,A.8.3.3,A.12.4.1,A.9.2.1,A.9.2.2,A.13.1.3,A.10.1.1,A.10.1.2
MOS-01,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-02,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-03,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-04,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-05,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-06,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-07,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-08,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-09,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-10,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-11,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-12,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-13,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-14,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-15,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-16,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-17,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-18,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-19,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
MOS-20,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
SEF-01,A.6.1.3,A.6.1.4
SEF-02,A.16.1.1,A.16.1.2
SEF-03,A.6.1.1,A.7.2.1,A.7.2.2,A.16.1.2,A.16.1.3,A.16.1.1
SEF-04,A.7.2.2,A.7.2.3,A.16.1.7,A.18.1.3
SEF-05,A.16.1.6
STA-01,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
STA-03,A.15.1.2,A.13.1.2
STA-04,A.14.2.3,A.12.6.1,A.18.1.1,A.18.2.2,A.18.2.3
STA-05,A.15.1.2,A.13.2.2,A.9.4.1,A.10.1.1
STA-09,A.15.1.2,A.15.2.1,A.13.1.2
TVM-01,A.12.2.1
TVM-02,A.14.2.2,A.14.2.3,A.12.6.1
TVM-03,A.12.2.1
